Question,Answer Options,Correct Answer,Point Value,Category,Question Type
"I get 7-8 hours of quality, restorative sleep most nights",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
"I eat nutritious, whole foods that fuel my body well",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
I exercise regularly (3+ times/week) and feel physically vital,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
I have sufficient physical energy to do what matters to me,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
I take care of my body and my overall health is good,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
I have sufficient money to meet my basic needs without constant stress,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
"My body feels healthy, strong, and capable",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Survival,Multiple Choice - Horizontal
I feel physically safe in my home and daily environment,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Safety,Multiple Choice - Horizontal
I feel secure about my financial situation and future,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Safety,Multiple Choice - Horizontal
"I have structure, order, and routine in my life that supports me",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Safety,Multiple Choice - Horizontal
My life has sufficient stability (I'm not in constant chaos or crisis),1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Safety,Multiple Choice - Horizontal
I feel in control of my life circumstances and able to influence outcomes,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Safety,Multiple Choice - Horizontal
"I have deep, meaningful connections with others who truly know me",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Social,Multiple Choice - Horizontal
"I give and receive love, affection, and care in my relationships",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Social,Multiple Choice - Horizontal
I feel like I belong to a community or group that matters to me,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Social,Multiple Choice - Horizontal
I have at least one relationship of deep trust and intimacy,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Social,Multiple Choice - Horizontal
I have friends/companions I enjoy spending time with regularly,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Social,Multiple Choice - Horizontal
"I respect myself, my choices, and my accomplishments",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Self,Multiple Choice - Horizontal
I have a strong sense of my own dignity and inherent worth as a person,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Self,Multiple Choice - Horizontal
"I feel respected and valued by others (colleagues, family, friends)",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Self,Multiple Choice - Horizontal
My voice and opinions matter; I'm listened to and taken seriously,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Self,Multiple Choice - Horizontal
"I'm actively learning, growing, and expanding my understanding",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I seek truth and understanding in areas that matter to me,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I'm curious about life and enjoy exploring new ideas,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
"I notice, appreciate, and create beauty in my life",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I express myself creatively in some form,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I express my authentic self rather than a false persona,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I'm expressing my best self and highest qualities regularly,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I'm using and developing my unique talents and gifts,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I'm actively choosing my own path rather than just following others,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I have a clear sense of purpose that guides my decisions,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I'm living aligned with my highest values and principles,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I'm making a meaningful contribution to something beyond myself,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
My life and work have positive impact on others or the world,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I regularly serve or help others in ways that matter,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
I care deeply about and extend myself for others' wellbeing,1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
"I'm generous with my time, attention, resources, and love",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
"I regularly experience moments of flow, peak performance, or transcendence",1 - Not at all true|2 - Rarely true|3 - Sometimes true|4 - Often true|5 - Usually true|6 - Almost always true|7 - Completely true,,0,Meta-Needs,Multiple Choice - Horizontal
